time_sec,x,y,theta,v,w
4.189,-6.5446261868835844e-12,-9.030802372321387e-26,2.75976558602041e-14,-5.194209895982542e-12,2.1910095838081992e-14
4.2,-6.591374101900517e-12,-9.160276999739428e-26,2.7795029512456866e-14,-4.249810456084762e-12,1.7943059295705954e-14
4.21,-6.638122023988057e-12,-9.290674091593527e-26,2.799230221532297e-14,-4.67479220875399e-12,1.9727270286610567e-14
4.22,-6.684869936214016e-12,-9.421992223097335e-26,2.8189086535932363e-14,-4.674791222595881e-12,1.9678432060939192e-14
4.229,-6.731617872004431e-12,-9.554230661987036e-26,2.8386005670305612e-14,-5.194215087823934e-12,2.1879903819249852e-14
4.24,-6.7783657898949225e-12,-9.687389797567151e-26,2.8583006678883564e-14,-4.249810717317422e-12,1.790918259799568e-14
4.253,-6.8251137431448044e-12,-9.821470260180934e-26,2.878013043947622e-14,-3.595996403837079e-12,1.516336619943519e-14
4.26,-6.8718617493342456e-12,-9.956473076634161e-26,2.897754842543345e-14,-6.678286598491604e-12,2.8202569422461117e-14
4.269,-6.918609775484019e-12,-1.009239875119963e-25,2.9174928057738825e-14,-5.194225127752516e-12,2.1931070256152792e-14
4.282,-6.965357803368091e-12,-1.0229247165144359e-25,2.937231773585494e-14,-3.596002144928661e-12,1.518382139354742e-14
4.29,-7.0121058422381815e-12,-1.0367018158230954e-25,2.9569617120258885e-14,-5.84350485876124e-12,2.4662423050493022e-14
4.3,-7.058853888871329e-12,-1.050571138174601e-25,2.976686151528388e-14,-4.674804663314688e-12,1.972443950249943e-14
4.31,-7.105601926360755e-12,-1.0645326572311915e-25,2.996406969118006e-14,-4.674803748942622e-12,1.9720817589617778e-14
4.32,-7.152349984430964e-12,-1.0785863242353822e-25,3.0161067413270153e-14,-4.674805807020925e-12,1.969977220900959e-14
4.33,-7.199098020298323e-12,-1.092732113912377e-25,3.035822249714119e-14,-4.674803586735812e-12,1.9715508387103782e-14
4.344,-7.245846086032062e-12,-1.1069701031118507e-25,3.0555481528895515e-14,-3.3391475524099885e-12,1.4089930839594561e-14
4.35,-7.29259413486326e-12,-1.121300237289302e-25,3.0752464089095875e-14,-7.79134147186623e-12,3.283042670006004e-14
4.36,-7.339342197492624e-12,-1.1357224483342191e-25,3.0949391490510706e-14,-4.67480626293641e-12,1.96927401414831e-14
4.37,-7.38609023773279e-12,-1.1502367263366117e-25,3.1146379488662577e-14,-4.674804024016571e-12,1.969879981518705e-14
4.379,-7.432838324718587e-12,-1.1648430520559468e-25,3.134313253681554e-14,-5.194231887310722e-12,2.186144979477391e-14
4.39,-7.479586428681042e-12,-1.1795414248219072e-25,3.1540156923502833e-14,-4.2498276329503945e-12,1.7911307880662877e-14
4.4,-7.526334551280339e-12,-1.194331921720472e-25,3.173723723130531e-14,-4.674812259929676e-12,1.9708030780247844e-14
4.41,-7.573082685500928e-12,-1.2092145958574632e-25,3.1934498058769513e-14,-4.674813422058879e-12,1.9726082746420132e-14
4.421,-7.619830783574387e-12,-1.224189454404873e-25,3.213167431846426e-14,-4.249827097587071e-12,1.792511451770404e-14
4.43,-7.666578951301482e-12,-1.2392565399324332e-25,3.232897199186164e-14,-5.194240858566068e-12,2.1921963710820183e-14
